,,Size,Original_Mean,Pix_min,Pix_max,PixelNum Mask,Mean,Median,Minimum,Maximum,Variance,Skewness,Kurtosis,Energy,Entropy,IDM,Contrast,Correlation,Percentage,Type
4,out/4LabelMapVolume_3out.nrrd,"(512, 512, 1)",146.0506325,0,1158,990,197.5909091,195,148,264,384.4922406,0.450914002,3.339259928,0.210823803,2.841863302,0.843864654,0.328246978,0.749676076,0.431486471,Normal
4,out/4LabelMapVolume_4out.nrrd,"(512, 512, 1)",146.0506325,0,1158,991,178.2240161,180,121,232,535.7762547,-0.229278749,2.201778505,0.158885787,3.043424637,0.851356017,0.300482853,0.838400224,0.845606487,Normal
4,out/4LabelMapVolume_5out.nrrd,"(512, 512, 1)",146.0506325,0,1158,990,68.99393939,66,19,134,572.7959229,0.332331381,2.367867951,0.128774097,3.361386684,0.793368186,0.485268314,0.75375165,20.5184511,Grasa
4,out/4LabelMapVolume_6out.nrrd,"(512, 512, 1)",146.0506325,0,1158,988,269.159919,275,84,406,2700.579689,-0.493401948,3.482462085,0.039895993,5.225709932,0.617198164,1.518966336,0.824877736,7.516927885,Grasa
4,out/4LabelMapVolume_7out.nrrd,"(512, 512, 1)",146.0506325,0,1158,992,93.31350806,93,56,154,196.5640111,0.425924971,3.700090965,0.297122878,2.300947702,0.861105635,0.280343961,0.629566858,3.785980309,Normal
4,out/4LabelMapVolume_8out.nrrd,"(512, 512, 1)",146.0506325,0,1158,991,143.136226,142,83,268,688.1398683,1.395002873,7.317791664,0.183224477,3.133059606,0.83949345,0.344593802,0.845144923,0.417757825,Normal
5,out/5LabelMapVolume_1out.nrrd,"(512, 512, 1)",147.3516769,0,1632,991,308.2421796,310,154,405,1535.755678,-0.508221884,3.79119483,0.080995863,4.136166222,0.777943506,0.521794034,0.897658511,3.400389447,Normal
5,out/5LabelMapVolume_2out.nrrd,"(512, 512, 1)",147.3516769,0,1632,990,287.8878788,289,211,342,552.2349036,-0.457129686,3.110719783,0.170661379,3.106053378,0.848686441,0.309023707,0.838252228,17.84211146,Grasa
5,out/5LabelMapVolume_3out.nrrd,"(512, 512, 1)",147.3516769,0,1632,990,207.4424242,213,104,282,1958.788099,-0.451539181,2.20023586,0.076155071,4.106208516,0.796082304,0.46841664,0.92799813,16.76035124,Grasa
5,out/5LabelMapVolume_4out.nrrd,"(512, 512, 1)",147.3516769,0,1632,996,307.2158635,318,134,383,1850.65521,-1.283602803,4.749015141,0.10580856,4.042895499,0.784216936,0.567865461,0.908314799,3.028618773,Normal
5,out/5LabelMapVolume_5out.nrrd,"(512, 512, 1)",147.3516769,0,1632,992,288.8709677,294,179,376,1645.678915,-0.318456891,2.686027529,0.072738616,4.227809655,0.76922276,0.556417978,0.895142944,20.28901931,Grasa
5,out/5LabelMapVolume_6out.nrrd,"(512, 512, 1)",147.3516769,0,1632,992,204.077621,215,88,300,1774.309499,-0.689653888,2.732669966,0.089717367,4.158345774,0.762935701,0.599611093,0.898306158,16.98301246,Grasa
5,out/5LabelMapVolume_7out.nrrd,"(512, 512, 1)",147.3516769,0,1632,991,306.7911201,310,204,384,1309.487146,-0.25254005,2.337152424,0.082840225,4.027321139,0.785942822,0.498239746,0.887107186,15.31498158,Grasa
5,out/5LabelMapVolume_8out.nrrd,"(512, 512, 1)",147.3516769,0,1632,991,239.7477296,235,135,350,1154.592263,0.473845549,3.409601355,0.097888592,3.993293466,0.768037325,0.588057749,0.85035103,10.76188855,Grasa
6,out/6LabelMapVolume_1out.nrrd,"(256, 256, 1)",160.7776489,0,1493,307,223.7654723,224,163,285,569.3326189,-0.05903814,2.516858218,0.090376817,3.855056947,0.667741611,1.055918901,0.48010697,6.005984751,Grasa
6,out/6LabelMapVolume_2out.nrrd,"(256, 256, 1)",160.7776489,0,1493,307,212.5700326,214,151,267,390.4144765,-0.243953917,2.897127431,0.122307574,3.477529252,0.67599267,0.972141628,0.316245593,7.253802656,Grasa
6,out/6LabelMapVolume_3out.nrrd,"(256, 256, 1)",160.7776489,0,1493,309,183.8187702,182,88,323,1160.329615,0.4368968,4.161030802,0.073417773,4.601197984,0.584270477,2.202827381,0.436149324,5.20433776,Grasa
6,out/6LabelMapVolume_4out.nrrd,"(256, 256, 1)",160.7776489,0,1493,306,234.9084967,236,126,301,1001.775941,-0.412488009,3.08814192,0.078400027,4.089563545,0.70488122,0.839047234,0.747175873,6.974507944,Grasa
6,out/6LabelMapVolume_5out.nrrd,"(256, 256, 1)",160.7776489,0,1493,305,231.3147541,230,160,287,538.2484708,0.064914663,2.788743824,0.1196831,3.506599389,0.735882914,0.657570557,0.628909444,7.530541877,Grasa
6,out/6LabelMapVolume_6out.nrrd,"(256, 256, 1)",160.7776489,0,1493,307,231.5179153,229,171,302,737.8197116,0.266430321,2.515915616,0.086620137,3.899929809,0.690681441,0.868981738,0.647426422,5.336273386,Grasa
6,out/6LabelMapVolume_7out.nrrd,"(256, 256, 1)",160.7776489,0,1493,305,276.9868852,278,191,363,1419.580156,0.050247156,2.31921664,0.056529738,4.506830743,0.668220975,1.015985271,0.778852071,5.564343284,Grasa
6,out/6LabelMapVolume_8out.nrrd,"(256, 256, 1)",160.7776489,0,1493,308,178.224026,177,119,260,452.0504617,0.420278473,3.912834327,0.124735208,3.497097555,0.680423691,0.943535898,0.398846285,5.373043139,Grasa
7,out/7LabelMapVolume_1out.nrrd,"(512, 512, 1)",117.0761108,0,860,2024,204.1837945,203,132,289,453.7083145,0.343298076,3.565659564,0.14469479,3.29435144,0.775454032,0.501968071,0.695716748,1.404894163,Normal
